Year,Districts,Estimate; Total:,Estimate; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
2008,Congressional District 11,695280,455646,414528,27840,2229,2004,634,277,8134,483,7651,239634,190680,1736,3441,69,0,37681,6027,3959,2068
2008,Congressional District 12,813561,581763,495496,49126,4160,21181,18,585,11197,251,10946,231798,153050,371,1038,767,52,70590,5930,4454,1476
2008,Congressional District 13,653635,514829,451565,41072,4323,9033,371,1023,7442,335,7107,138806,93935,559,1119,486,39,37796,4872,3795,1077
2008,Congressional District 14,756644,542801,449833,60940,2234,19196,0,1390,9208,47,9161,213843,168859,812,1940,85,80,33255,8812,5158,3654
2008,Congressional District 15,760723,146705,123812,10715,456,8555,0,1272,1895,678,1217,614018,471038,1479,1094,118,96,135950,4243,3016,1227
2008,Congressional District 16,705211,133590,99386,19468,1368,7349,106,887,5026,336,4690,571621,474503,2051,2060,848,0,81196,10963,7628,3335
2008,Congressional District 17,737508,596006,497591,70817,2341,14534,284,1664,8775,360,8415,141502,99051,689,1769,124,72,33940,5857,4071,1786
2008,Congressional District 18,673067,402450,114329,254503,914,25935,963,2471,3335,404,2931,270617,177759,1491,518,343,0,86444,4062,2630,1432
2008,Congressional District 19,669198,448243,396658,33610,2274,6731,41,661,8268,396,7872,220955,172320,1836,973,203,0,36982,8641,5088,3553
2008,Congressional District 20,677981,205617,140980,43129,2337,8388,480,1244,9059,136,8923,472364,381491,1180,2861,486,0,76142,10204,6394,3810
2008,Congressional District 21,828925,596586,503341,49109,3012,24266,650,1507,14701,1937,12764,232339,189005,3089,530,995,0,27973,10747,5711,5036
2008,Congressional District 22,873878,642395,416608,109165,2721,102261,177,910,10553,1339,9214,231483,172246,1551,1886,482,0,48374,6944,4423,2521
2008,Congressional District 23,788817,270520,222514,22099,2665,14805,634,1459,6344,153,6191,518297,420556,1090,3284,960,75,82612,9720,5128,4592
2008,Congressional District 24,772580,579750,402111,97378,2672,61762,2721,555,12551,976,11575,192830,132146,1545,1594,300,166,52027,5052,1671,3381
2008,Congressional District 25,789252,486531,400339,60036,1739,15177,160,994,8086,908,7178,302721,145856,986,2605,223,135,146718,6198,3418,2780
2008,Congressional District 26,875556,697559,533598,118049,1928,26391,71,2700,14822,790,14032,177997,89768,1522,414,168,0,73836,12289,4934,7355
2008,Congressional District 27,705633,196023,167524,15844,1973,6318,0,550,3814,242,3572,509610,461421,1743,489,299,153,41408,4097,2326,1771
2008,Congressional District 28,802335,169133,149086,10938,1260,4677,958,135,2079,97,1982,633202,540432,591,1330,709,0,83968,6172,3822,2350
2008,Congressional District 29,686198,167990,92676,64689,1274,6163,742,1035,1411,218,1193,518208,317107,910,3725,464,0,188592,7410,5366,2044
2008,Congressional District 30,710531,420812,118377,282123,1056,9647,303,2248,7058,979,6079,289719,201510,2895,1857,443,140,78927,3947,3280,667
2008,Congressional District 31,841984,675192,525216,99607,3631,24890,2531,1201,18116,798,17318,166792,121492,4565,424,930,0,29508,9873,4397,5476
2008,Congressional District 32,669328,363038,282842,40957,2318,30945,325,638,5013,514,4499,306290,195457,204,1339,364,0,103265,5661,4518,1143
