"CAINC1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","LineCode","Description","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"48031","Blanco, TX","2","Population (persons) 1/",8495,8776,8950,9096,9337,9554,9686,9835,10061,10315,10510,10577,10627,10648,10817,11042,11323,11513,11702
"48031","Blanco, TX","3","Per capita personal income (dollars) 2/",27639,29324,29749,29607,30781,32855,36278,40356,46627,47659,40958,41245,42730,43829,46215,47537,47445,49915,51968
"48033","Borden, TX","1","Personal income (thousands of dollars)",13928,15351,19312,22922,22537,26558,18489,24996,24597,21171,30541,31605,34006,37725,33318,38979,33054,35314,41314
"48033","Borden, TX","2","Population (persons) 1/",715,677,685,666,671,638,634,597,612,618,646,632,613,646,665,655,657,670,648
"48033","Borden, TX","3","Per capita personal income (dollars) 2/",19480,22675,28193,34417,33587,41627,29162,41869,40191,34257,47277,50008,55475,58398,50102,59510,50311,52707,63756
"48035","Bosque, TX","1","Personal income (thousands of dollars)",373943,403487,419346,440600,457895,490638,503934,532174,569700,567914,593456,628345,647070,660556,686883,712106,716087,737601,777395
"48035","Bosque, TX","2","Population (persons) 1/",17218,17338,17474,17647,17871,17990,18046,18077,17939,18004,18272,18263,18130,17869,17719,17868,18014,18318,18691
"48035","Bosque, TX","3","Per capita personal income (dollars) 2/",21718,23272,23998,24967,25622,27273,27925,29439,31758,31544,32479,34405,35691,36967,38765,39854,39752,40266,41592
"48037","Bowie, TX","1","Personal income (thousands of dollars)",2038436,2224814,2292725,2319699,2444792,2552392,2677843,2846683,3014529,3025548,3145982,3278033,3328543,3252485,3320093,3486042,3532159,3642393,3773940
"48037","Bowie, TX","2","Population (persons) 1/",89156,88942,88813,88839,89055,89239,90235,90456,91349,92231,92636,92922,93129,93487,93502,93494,93994,93977,94324
"48037","Bowie, TX","3","Per capita personal income (dollars) 2/",22864,25014,25815,26111,27453,28602,29676,31470,33000,32804,33961,35277,35741,34791,35508,37286,37579,38758,40010
"48039","Brazoria, TX","1","Personal income (thousands of dollars)",6515478,7032121,7228248,7444099,7712800,8418077,9467071,10598213,11379363,11196574,11608545,12419338,13206826,13781747,14984031,15762367,16110590,16530169,17487902
"48039","Brazoria, TX","2","Population (persons) 1/",243116,248280,255246,261269,268051,274336,284248,293296,301336,309236,314447,319159,324284,329986,337698,345617,353778,362700,370200
"48039","Brazoria, TX","3","Per capita personal income (dollars) 2/",26800,28323,28319,28492,28774,30685,33306,36135,37763,36207,36917,38913,40726,41765,44371,45606,45539,45575,47239
"48041","Brazos, TX","1","Personal income (thousands of dollars)",3078864,3296278,3427114,3702759,3869971,4130992,4495811,4776019,5312543,5466797,5827496,6118968,6507125,6790060,7346940,7695604,7839127,8334296,8892606
"48041","Brazos, TX","2","Population (persons) 1/",153145,155533,159297,163279,166150,169824,175433,179472,185098,191434,195663,197416,200261,204141,209030,216450,220156,223572,226758
"48041","Brazos, TX","3","Per capita personal income (dollars) 2/",20104,21193,21514,22677,23292,24325,25627,26611,28701,28557,29783,30995,32493,33262,35148,35554,35607,37278,39216
"48043","Brewster, TX","1","Personal income (thousands of dollars)",205894,243646,244404,268162,280783,268122,280287,270320,290700,304631,328260,344684,335785,347489,369742,381711,393589,394391,423060
"48043","Brewster, TX","2","Population (persons) 1/",8903,8836,8945,9030,9002,8830,8790,8843,8868,9054,9260,9352,9262,9290,9151,9136,9197,9330,9267
"48043","Brewster, TX","3","Per capita personal income (dollars) 2/",23126,27574,27323,29697,31191,30365,31887,30569,32781,33646,35449,36857,36254,37405,40405,41781,42795,42271,45652
"48045","Briscoe, TX","1","Personal income (thousands of dollars)",39439,43643,42341,44697,40920,46652,39238,48235,43921,49731,60161,51829,47774,65283,52269,52480,44241,50952,53429
"48045","Briscoe, TX","2","Population (persons) 1/",1796,1764,1746,1763,1768,1726,1704,1647,1651,1634,1632,1658,1575,1561,1551,1515,1485,1518,1516
"48045","Briscoe, TX","3","Per capita personal income (dollars) 2/",21959,24741,24250,25353,23145,27029,23027,29287,26603,30435,36863,31260,30333,41821,33700,34640,29792,33565,35243
"48047","Brooks, TX","1","Personal income (thousands of dollars)",122879,137360,138457,152294,159258,167977,181726,187045,194103,188428,203220,226889,233576,242732,251872,254900,237299,237895,240890
